id;geslacht;geboortedatum;postcode;woonplaats;mailings;opens;clicks;interesses
5cb9a38136dd1336b9c528d1;m;0-0-0;;;1:668,1:692,1:714,1:733,1:761,1:785,1:804,1:825,1:846,1:859,1:866,1:873,1:876,1:879,1:892,1:891,1:899,1:874,1:920,1:906,1:913,1:930,1:935,1:958,1:996,1:1031,1:1007,1:1013,1:1040,1:1057,1:1084,1:1093,1:1122,1:1146,1:1159,1:1177,1:1178,1:1231,1:1237,1:1245,1:1281,1:1297,1:1314,1:1340,1:1346,1:1334,1:1362,1:1382,1:1390,1:1398,1:1417;1:879,1:891,1:913,1:935,1:996,1:1031,1:1007,1:1013,1:1040,1:1084,1:1281,1:1297,1:1314,1:1340,1:1334,1:1362,1:1382,1:1390,1:1398;;energie,loterij,kranten,entertainment,winactie,cadeau,bladen,kansspelen,goededoelen,Acties,Unknown,kortingen,onderzoek
5cb9a38336dd1336b9c537f3;v;0-0-0;;;1:668,1:692,1:714,1:721,1:729,1:735,1:733,1:753,1:777,1:770,1:758,1:760,1:785,1:791,1:793,1:801,1:804,1:822,1:825,1:846,1:859,1:866,1:873,1:876,1:879,1:882,1:892,1:891,1:896,1:899,1:881,1:908,1:922,1:913,1:931,1:942,1:935,1:958,1:961,1:970,1:989,1:1003,1:996,1:1025,1:1043,1:1048,1:1084,1:1107,1:1090,1:1089,1:1093,1:1122,1:1146,1:1115,1:1159,1:1177,1:1210,1:1207,1:1231,1:1237,1:1245,1:1281,1:1274,1:1301,1:1288,1:1297,1:1314,1:1340,1:1348,1:1336,1:1354,1:1334,1:1345,1:1362,1:1382,1:1378,1:1365,1:1390,1:1398,1:1417;1:668,1:692,1:714,1:733,1:753,1:777,1:770,1:758,1:760,1:791,1:804,1:846,1:859,1:866,1:873,1:876,1:882,1:892,1:891,1:896,1:899,1:881,1:908,1:922,1:913,1:931,1:958,1:961,1:970,1:989,1:1003,1:996,1:1025,1:1043,1:1048,1:1107,1:1090,1:1089,1:1122,1:1115,1:1231,1:1237,1:1245,1:1281,1:1274,1:1301,1:1288,1:1297,1:1314,1:1340,1:1348,1:1336,1:1354,1:1334,1:1345,1:1382,1:1378,1:1365,1:1390,1:1398;;auto,loterij,cx80,kranten,mkb,verzekering,entertainment,winactie,Auto inruilen,bladen,mazda,elektrisch,goededoelen,zakelijk rijden,Unknown,audi,kortingen,onderzoek,Mazda6e,energie,cadeau,ondernemers,kansspelen,dacia,Acties,bigevent,hybrid,mercedes,toyota,lease
5cb9a38236dd1336b9c52f07;m;0-0-0;;;1:668,1:692,1:714,1:733,1:761,1:785,1:804,1:825,1:846,1:859,1:866,1:873,1:876,1:879,1:882,1:892,1:891,1:899,1:874,1:920,1:906,1:913,1:930,1:935,1:961,1:970,1:989,1:1003,1:1011,1:1026,1:1057,1:1084,1:1093,1:1122,1:1146,1:1159,1:1177,1:1210,1:1231,1:1237,1:1245,1:1281,1:1274,1:1301,1:1288,1:1297,1:1314,1:1340,1:1343,1:1346,1:1334,1:1362,1:1381,1:1390,1:1398,1:1417;1:876,1:961,1:1159;;auto,kranten,Auto inruilen,Windows,bladen,goededoelen,bank,kortingen,beleggen,Acties,toyota,lease,finance
5cb9a38236dd1336b9c53694;v;0-0-0;;;1:654,1:668,1:695,1:692,1:706,1:714,1:653,1:733,1:736,1:743,1:740,1:762,1:761,1:775,1:783,1:792,1:785,1:800,1:804,1:821,1:831,1:825,1:846,1:859,1:866,1:873,1:876,1:879,1:882,1:892,1:891,1:896,1:899,1:921,1:880,1:907,1:913,1:931,1:909,1:935,1:944,1:950,1:961,1:966,1:988,1:1003,1:996,1:1025,1:1015,1:1055,1:1048,1:1084,1:1107,1:1090,1:1089,1:1083,1:1093,1:1122,1:1116,1:1143,1:1146,1:1159,1:1177,1:1210,1:1231,1:1228,1:1237,1:1239,1:1252,1:1251,1:1248,1:1245,1:1257,1:1258,1:1281,1:1285,1:1289,1:1282,1:1290,1:1260,1:1297,1:1320,1:1314,1:1328,1:1340,1:1346,1:1334,1:1362,1:1382,1:1390,1:1391,1:1408,1:1411,1:1403,1:1402,1:1398,1:1417;1:654,1:706,1:733,1:831,1:866,1:876,1:891,1:913,1:961,1:966,1:988,1:1003,1:996,1:1015,1:1055,1:1048,1:1084,1:1231,1:1237,1:1239,1:1252,1:1251,1:1248,1:1257,1:1290,1:1314,1:1328,1:1340,1:1391;;cx60,auto,loterij,cx80,kranten,mkb,verzekering,entertainment,winactie,HR,bladen,mazda,elektrisch,goededoelen,zakelijk rijden,bank,Unknown,audi,kortingen,onderzoek,cx5,Bedrijven,energie,cadeau,ondernemers,IT,kansspelen,Acties,telcom,hybrid,hypotheek,Centraal beheer,lease,mx30,cx30
5cb9a38636dd1336b9c54e48;m;0-0-0;;;1:668,1:692,1:714,1:733,1:760,1:785,1:804,1:825,1:846,1:859,1:867,1:873,1:876,1:879,1:892,1:891,1:899,1:881,1:908,1:922,1:919,1:931,1:935,1:961,1:970,1:1003,1:996,1:1025,1:1043,1:1057,1:1084,1:1107,1:1090,1:1089,1:1093,1:1122,1:1146,1:1115,1:1159,1:1177,1:1210,1:1207,1:1231,1:1237,1:1245,1:1281,1:1274,1:1301,1:1288,1:1297,1:1314,1:1340,1:1343,1:1346,1:1334,1:1362,1:1382,1:1390,1:1398,1:1417;1:668,1:692,1:714,1:760,1:785,1:804,1:825,1:846,1:873,1:876,1:879,1:892,1:899,1:881,1:908,1:922,1:931,1:961,1:970,1:1003,1:996,1:1025,1:1043,1:1084,1:1107,1:1090,1:1089,1:1093,1:1159,1:1177,1:1210,1:1231,1:1237,1:1245,1:1281,1:1274,1:1301,1:1288,1:1297,1:1314,1:1340,1:1334,1:1362,1:1382,1:1390,1:1398;;auto,kranten,verzekering,winactie,Auto inruilen,bladen,goededoelen,mazda,elektrisch,zakelijk rijden,bank,Unknown,audi,kortingen,beleggen,onderzoek,energie,cadeau,kansspelen,dacia,Acties,bigevent,toyota,lease,finance
5cb9a38736dd1336b9c55707;v;0-0-0;;;1:668,1:692,1:714,1:733,1:761,1:785,1:804,1:825,1:846,1:859,1:866,1:873,1:876,1:879,1:882,1:892,1:891,1:896,1:899,1:874,1:920,1:906,1:913,1:932,1:940,1:961,1:970,1:1003,1:996,1:1025,1:1043,1:1057,1:1084,1:1107,1:1090,1:1089,1:1093,1:1122,1:1116,1:1159,1:1177,1:1210,1:1207,1:1231,1:1237,1:1245,1:1281,1:1274,1:1301,1:1288,1:1297,1:1314,1:1340,1:1343,1:1348,1:1336,1:1354,1:1345,1:1361,1:1362,1:1381,1:1390,1:1398,1:1417;1:876,1:882,1:892,1:874,1:920,1:906,1:961,1:970,1:1003,1:1025,1:1043,1:1084,1:1116,1:1159,1:1177,1:1210,1:1237,1:1245;;auto,kranten,winactie,Auto inruilen,bladen,goededoelen,mazda,elektrisch,zakelijk rijden,bank,Unknown,audi,kortingen,beleggen,onderzoek,energie,cadeau,Acties,toyota,lease,finance
5cb9a38236dd1336b9c53396;v;0-0-0;;;1:668,1:692,1:714,1:733,1:777,1:770,1:758,1:760,1:785,1:791,1:803,1:825,1:846,1:859,1:866,1:873,1:876,1:879,1:892,1:891,1:899,1:874,1:920,1:906,1:913,1:931,1:932,1:940,1:958,1:961,1:970,1:1003,1:996,1:1025,1:1043,1:1057,1:1084,1:1107,1:1090,1:1089,1:1093,1:1122,1:1116,1:1146,1:1159,1:1177,1:1178,1:1231,1:1237,1:1245,1:1281,1:1297,1:1314,1:1340,1:1346,1:1334,1:1362,1:1382,1:1390,1:1398,1:1417;1:714,1:733,1:777,1:770,1:758,1:785,1:803,1:859,1:876,1:879,1:892,1:891,1:874,1:920,1:906,1:913,1:940,1:961,1:970,1:1003,1:1025,1:1043,1:1093,1:1116,1:1159,1:1177,1:1178,1:1231,1:1237,1:1245,1:1281,1:1297,1:1340,1:1398;;cx60,auto,kranten,verzekering,mkb,winactie,Auto inruilen,bladen,goededoelen,mazda,elektrisch,zakelijk rijden,bank,Unknown,audi,kortingen,beleggen,onderzoek,Mazda6e,energie,cadeau,ondernemers,kansspelen,Acties,toyota,lease,finance
5cb9a38536dd1336b9c54345;m;0-0-0;;;1:668,1:696,1:692,1:714,1:733,1:761,1:785,1:804,1:825,1:846,1:859,1:866,1:873,1:876,1:879,1:892,1:891,1:896,1:899,1:874,1:920,1:906,1:913,1:932,1:940,1:961,1:970,1:1003,1:996,1:1011,1:1026,1:1043,1:1057,1:1084,1:1107,1:1090,1:1089,1:1093,1:1122,1:1146,1:1115,1:1159,1:1177,1:1210,1:1207,1:1231,1:1237,1:1245,1:1281,1:1274,1:1301,1:1288,1:1297,1:1314,1:1340,1:1343,1:1346,1:1334,1:1362,1:1381,1:1390,1:1398,1:1417;1:876,1:879,1:892,1:891,1:874,1:920,1:906,1:913,1:932,1:940,1:961,1:970,1:996,1:1026,1:1043,1:1057,1:1084,1:1107,1:1090,1:1089,1:1093,1:1159,1:1177,1:1210,1:1231,1:1237,1:1245;;cx60,auto,cx80,kranten,winactie,Auto inruilen,bladen,iOS,mazda,goededoelen,elektrisch,zakelijk rijden,bank,audi,kortingen,beleggen,onderzoek,cx5,energie,cadeau,dacia,Acties,bigevent,toyota,lease,mx30,cx30,finance
5cb9a38336dd1336b9c537b5;v;0-0-0;;;1:668,1:692,1:714,1:733,1:760,1:785,1:803,1:824,1:846,1:859,1:866,1:872,1:876,1:879,1:892,1:891,1:896,1:899,1:874,1:920,1:906,1:913,1:932,1:940,1:961,1:996,1:997,1:1016,1:1022,1:1030,1:1043,1:1057,1:1084,1:1107,1:1090,1:1089,1:1093,1:1122,1:1146,1:1115,1:1159,1:1177,1:1210,1:1207,1:1231,1:1237,1:1245,1:1281,1:1274,1:1301,1:1288,1:1297,1:1314,1:1340,1:1343,1:1348,1:1336,1:1354,1:1346,1:1362,1:1382,1:1365,1:1390,1:1398,1:1417;1:668,1:692,1:714,1:760,1:785,1:824,1:846,1:859,1:866,1:872,1:876,1:879,1:892,1:891,1:896,1:899,1:874,1:920,1:906,1:913,1:996,1:997,1:1016,1:1022,1:1030,1:1043,1:1057,1:1084,1:1107,1:1090,1:1089,1:1093,1:1122,1:1115,1:1159,1:1177,1:1231,1:1237,1:1245,1:1281,1:1274,1:1301,1:1288,1:1297,1:1314,1:1340,1:1343,1:1348,1:1336,1:1354,1:1362,1:1382,1:1365,1:1390,1:1398;;auto,kranten,winactie,Auto inruilen,bladen,goededoelen,mazda,elektrisch,zakelijk rijden,bank,Unknown,audi,kortingen,beleggen,onderzoek,energie,cadeau,kansspelen,Acties,lease,finance
5cb9a37e36dd1336b9c511ae;v;0-0-0;;;1:668,1:692,1:714,1:733,1:761,1:785,1:804,1:825,1:847,1:859,1:866,1:873,1:876,1:879,1:882,1:892,1:891,1:899,1:874,1:920,1:906,1:913,1:930,1:935,1:961,1:1031,1:1007,1:1013,1:1040,1:1048,1:1084,1:1093,1:1122,1:1146,1:1159,1:1177,1:1210,1:1231,1:1237,1:1245,1:1266,1:1281,1:1297,1:1320,1:1314,1:1328,1:1340,1:1343,1:1346,1:1334,1:1362,1:1364,1:1381,1:1390,1:1391,1:1398,1:1417;1:761,1:913,1:1381,1:1391;;kranten,winactie,bladen,Unknown,kortingen,energie,Acties
5cb9a38036dd1336b9c51d7a;v;0-0-0;;;1:1285,1:1289,1:1320,1:1328,1:1340,1:1346,1:1334,1:1362,1:1364,1:1382,1:1390,1:1391,1:1398,1:1417;1:1328,1:1340,1:1334,1:1362,1:1382,1:1390,1:1391,1:1398;;kranten,winactie,bladen,kortingen,energie,cadeau,Acties
5cb9a37f36dd1336b9c5199f;m;0-0-0;;;1:1285,1:1289,1:1298,1:1320,1:1328,1:1329,1:1340,1:1346,1:1334,1:1362,1:1364,1:1382,1:1390,1:1391,1:1398,1:1417;1:1285,1:1289,1:1298,1:1328,1:1329,1:1340,1:1334,1:1362,1:1382,1:1390,1:1391,1:1398;;kranten,bladen,kortingen,cadeau,Acties
5cb9a38536dd1336b9c54521;m;0-0-0;;;1:668,1:692,1:714,1:721,1:729,1:735,1:728,1:753,1:777,1:770,1:758,1:760,1:779,1:785,1:791,1:803,1:825,1:846,1:859,1:867,1:873,1:876,1:879,1:892,1:891,1:897,1:893,1:901,1:902,1:896,1:899,1:881,1:908,1:922,1:913,1:927,1:937,1:929,1:928,1:935,1:947,1:961,1:970,1:1003,1:996,1:1025,1:1043,1:1057,1:1084,1:1107,1:1090,1:1089,1:1093,1:1122,1:1143,1:1146,1:1115,1:1159,1:1177,1:1210,1:1207,1:1231,1:1228,1:1237,1:1239,1:1245,1:1281,1:1274,1:1301,1:1288,1:1297,1:1314;1:668,1:692,1:714,1:721,1:729,1:735,1:728,1:753,1:777,1:770,1:758,1:760,1:779,1:785,1:791,1:803,1:825,1:846,1:859,1:867,1:873,1:876,1:879,1:892,1:891,1:897,1:893,1:901,1:902,1:896,1:899,1:881,1:908,1:922,1:913,1:927,1:937,1:929,1:928,1:935,1:961,1:970,1:1003,1:996,1:1025,1:1043,1:1057,1:1084,1:1107,1:1090,1:1089,1:1093,1:1122,1:1159,1:1210,1:1231,1:1228,1:1239,1:1274,1:1301,1:1288;;cx60,auto,cx80,kranten,mkb,winactie,Auto inruilen,HR,bladen,mazda,elektrisch,goededoelen,zakelijk rijden,bank,Unknown,audi,kortingen,beleggen,onderzoek,Mazda6e,cx5,Bedrijven,energie,cadeau,ondernemers,dacia,Acties,bigevent,hybrid,toyota,lease,mx30,cx30,finance
